Dataset Summary:
X Data
  total size: 60000 units
  batch size: 60000 units
  num. batches: 1
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with diagonal covariance.
Obs. Data  Prior:  independent Gauss-Wishart prior on each dimension
  Wishart params 
    nu = 102  ...
  beta = [ 10  10]  ...
  Expectations
  E[  mean[k]] = 
  [ 0  0] ...
  E[ covar[k]] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = randexamples
  K = 4 (number of clusters)
  seed = 1607680
  elapsed_time: 0.2 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: dpmm_save/1
    1.000/100 after      6 sec. |    957.9 MiB | K   18 | loss  1.814781628e+00 |  
    2.000/100 after      7 sec. |    957.9 MiB | K   12 | loss  1.801885625e+00 |  
    3.000/100 after      8 sec. |    957.9 MiB | K   11 | loss  1.798380431e+00 |  
    4.000/100 after      9 sec. |    957.9 MiB | K   11 | loss  1.796497557e+00 | Ndiff  414.071 
    5.000/100 after      9 sec. |    957.9 MiB | K   11 | loss  1.795445546e+00 | Ndiff  535.226 
    6.000/100 after     10 sec. |    957.9 MiB | K   11 | loss  1.794817388e+00 | Ndiff  555.913 
    7.000/100 after     11 sec. |    957.9 MiB | K   11 | loss  1.794381308e+00 | Ndiff  582.753 
    8.000/100 after     12 sec. |    957.9 MiB | K   11 | loss  1.794032561e+00 | Ndiff  595.232 
    9.000/100 after     12 sec. |    957.9 MiB | K   11 | loss  1.793715608e+00 | Ndiff  584.155 
   10.000/100 after     13 sec. |    957.9 MiB | K   11 | loss  1.793404898e+00 | Ndiff  438.078 
   11.000/100 after     14 sec. |    957.9 MiB | K   11 | loss  1.793212346e+00 | Ndiff  426.381 
   12.000/100 after     14 sec. |    957.9 MiB | K   11 | loss  1.793093000e+00 | Ndiff  342.949 
   13.000/100 after     15 sec. |    957.9 MiB | K   11 | loss  1.793005513e+00 | Ndiff  270.954 
